Process,ActUnit,CapUnit
RECOLFRE02,M-Units,M-Units_a
RECOLFRE01,M-Units,M-Units_a
RECOLFRE00,M-Units,M-Units_a
REAUDVIS01,PJ,PJ_a
REAUDVIS00,PJ,PJ_a
REAIRCON01,M-Units,M-Units_a
REAIRCON00,M-Units,M-Units_a
RDISTELC01,GW,PJ_a
RDISTELC00,GW,PJ_a
RDH-SWHSN01,PJ,PJ_a
RDH-SWHSE01,PJ,PJ_a
RDH-BLRWN01,PJ,PJ_a
RDH-BLRWE01,PJ,PJ_a
RDH-BLRHN01,PJ,PJ_a
RDH-BLRHE01,PJ,PJ_a
RDH-BLRGN01,PJ,PJ_a
RDH-BLRGE01,PJ,PJ_a
RDH-BLRGE00,PJ,PJ_a
RDH-BLREN01,PJ,PJ_a
RDH-BLREE01,PJ,PJ_a
RCHP-STWN01,PJ,GW
RCHP-STWE01,PJ,GW
RCHP-FCHN01,PJ,GW
RCHP-FCHE01,PJ,GW
RCHP-CCHN01,PJ,GW
RCHP-CCHE01,PJ,GW
RCHP-CCGN01,PJ,GW
RCHP-CCGE01,PJ,GW
RCHP-CCGE00,PJ,GW
RCHHOVEN01,M-Units,M-Units_a
RCHHHOB01,M-Units,M-Units_a
RCHGOVEN01,M-Units,M-Units_a
RCHGOVEN00,M-Units,M-Units_a
RCHGHOB01,M-Units,M-Units_a
RCHGHOB00,M-Units,M-Units_a
RCHEOVEN01,M-Units,M-Units_a
RCHEOVEN00,M-Units,M-Units_a
RCHEHOB01,M-Units,M-Units_a
RCHEHOB00,M-Units,M-Units_a
RCEOTHER01,PJ,PJ_a
RCEOTHER00,PJ,PJ_a
PWLFMSWORG01,PJ,PJ_a
PWLFMSWORG00,PJ,PJ_a
PWLFMSWINO01,PJ,PJ_a
PWLFMSWINO00,PJ,PJ_a
PWLFMSWBIO01,PJ,PJ_a
PWLFMSWBIO00,PJ,PJ_a
PWLFLEGACY00,PJ,PJ_a
PVOILRSD01,PJ,PJ_a
PURND1901,PJ,PJ_a
PURND0901,PJ,PJ_a
PURND04501,PJ,PJ_a
PURN1901,PJ,PJ_a
PURN0901,PJ,PJ_a
PURN04501,PJ,PJ_a
PURN04500,PJ,PJ_a
PRCOILCRD01,PJ,PJ_a
PRCOILCRD00,PJ,PJ_a
PRCNGA01,PJ,PJ_a
PRCNGA00,PJ,PJ_a
PRCHFO01,PJ,PJ_a
PRCHFO00,PJ,PJ_a
PRCELC01,PJ,PJ_a
PRCELC00,PJ,PJ_a
PRCCOACOK01,PJ,PJ_a
PRCCOACOK00,PJ,PJ_a
PRCCOA01,PJ,PJ_a
PRCCOA00,PJ,PJ_a
PPELLBIOS01,PJ,PJ_a
PPELLBIOS00,PJ,PJ_a
PPELHWOD01,PJ,PJ_a
POILSYN01,PJ,PJ_a
POILREF02,PJ,PJ_a
POILREF01,PJ,PJ_a
POILREF00,PJ,PJ_a
POILLFODST01,PJ,PJ_a
POILJETKER01,PJ,PJ_a
PNUCISO01,PJ,PJ_a
PMETWOD01,PJ,PJ_a
